0,1,2
"Sabo,Goldcap,Joeski",Public Works,
0,1,2
Skin On Skin,Secret Location San Francisco,
0,1,2
Jeffrey Sutorius,The Midway,
0,1,2
"Offaiah,Rimarkable",Halcyon SF,Defected
0,1,2
"Rick Preston,Malena,William the MonQ,DJ Vega Garcia,John Andrew",Mars Bar,Tropical SF
0,1,2
"Chus,Øostil",The Midway,
0,1,2
Seek-One,F8,F8 & Talldoor Records Present
0,1,2
"Mind Against,Mita Gami",Public Works,SET
0,1,2
Wata Igarashi,The Loft at Public Works,
0,1,2
"Kryptt,LYQD,Neumonic,Elisuh",Monarch SF,Mind Frequencies
0,1,2
Light Asylum,Elbo Room Jack London,
0,1,2
"Blanke,Au5",The Midway,
0,1,2
"Riobamba,Dos Flakos,Rose Perreo",Crybaby,Reggaeton Rave
0,1,2
Robin Schulz,1015 Folsom,
0,1,2
Borgore,Temple SF,
0,1,2
"Max Cooper,Machinedrum",The Midway,
0,1,2
Felix Da Housecat,Audio,
0,1,2
"J.Phlip,Nonsuit,Too Many Hands",Monarch SF,
0,1,2
Nurko,YOLO Nightclub,
0,1,2
KR3TURE,The Center SF,
0,1,2
Just Her,Halcyon SF,
0,1,2
Boogie T.,Public Works,Bassrush Presents
0,1,2
YehMe2,Temple SF,
0,1,2
Vancouver Sleep Clinic,The Independent,
0,1,2
"Carl Cox,Joseph Capriati",The Midway,
0,1,2
Simon Doty,Audio,
0,1,2
Whethan,San Francisco Belle,
0,1,2
,Regency Ballroom,Shrek Rave
0,1,2
"GRAVEDGR,FADEAD,BRIZZY",DNA Lounge,GRAVEDGR at DNA Lounge
0,1,2
Mikey Lion,Halcyon SF,
0,1,2
David Harness,Café du Nord,
0,1,2
"Bianca Oblivion,Zmo,Boogie Brown",The EndUp,Sazon Libre Day Party
0,1,2
P.O.S. (Paavo of Above & Beyond),The Midway,Deeper Tales Tour
0,1,2
"Shouse,SATO,L0v3l3ss",Audio,Best Day Ever
0,1,2
Francis Mercier,The Midway,Konnekted & Safra Present Magia
0,1,2
Garth,F8,Strut SF & F8 Present
0,1,2
"Bored Lord,Stoney Creation",Crybaby,
0,1,2
Minnesota,The Independent,
0,1,2
Joshwa,Halcyon SF,
0,1,2
"Sub Killaz,DJ W4X,Amber Leigh,R3M,Screwtape,The Doctor,Juke,Whys,Blunter S. Whompson",DNA Lounge,Dystopia 12 Year Anniversary
0,1,2
Baauer,Temple SF,
0,1,2
Verlk,Monarch SF,
0,1,2
Julienne By,YOLO Nightclub,
0,1,2
Jauz,1015 Folsom,
0,1,2
,The Loft at Public Works,Club Blush - An Ethereal & Euphoric Dance Night
0,1,2
Cash Cash,Temple SF,
0,1,2
"Mark Farina,Homero Espinosa",The Midway,
0,1,2
"Moonwalk,SOEL,Sarah Afshar",Audio,
0,1,2
Kim Ann Foxman,Monarch SF,
0,1,2
Christian Martin,Halcyon SF,
0,1,2
"Zigan Aldi,Maz",Hotel VIA,
0,1,2
Teklow,F8,F8 & Talldoor Records Present
0,1,2
"Dirt Monkey,Jantsen",Public Works,Bassrush Presents
0,1,2
"Ivy Lab,OAKK",1015 Folsom,IFG 2023 Tour
0,1,2
K?D,Popscene at Rickshaw Stop,
0,1,2
"Noizu,Space Yacht",The Midway,
0,1,2
"Marie Davidson,Laurel Halo,Kudeki,Beverly Chills,Nonsuit",Monarch SF,
0,1,2
"Township Rebellion,Oceanvs Orientalis",Public Works,Presented by Public Works
0,1,2
Massane,Audio,
0,1,2
Daily Bread,The Independent,
0,1,2
Sam Divine,Halcyon SF,
0,1,2
Christian Löffler,Great Northern,
0,1,2
Showtek,Temple SF,
0,1,2
Sullivan King,The Midway,Thrones of Blood
0,1,2
"Dabin,Apashe,WAVEDASH,Grabbitz,MYRNE",Bill Graham Civic Auditorium,
0,1,2
Lucas & Steve,Temple SF,
0,1,2
DJ Dan,Monarch SF,
0,1,2
"YokoO,Alkemiss Erika,Suki",Great Northern,BurningMan Camp Fundraiser
0,1,2
Sébastien Léger,Audio,
0,1,2
Paraleven,The Independent,
0,1,2
Ilario Alicante,Halcyon SF,
0,1,2
"Recondite,Stacey Pullen",Public Works,Presented by Public Works
0,1,2
MoBlack,Audio,Magia Day Party
0,1,2
Young Franco,Rickshaw Stop,
0,1,2
"DJ Susan,L0vel3ss",Audio,
0,1,2
KSHMR,Bill Graham Civic Auditorium,
0,1,2
"SG Lewis,Lava La Rue",The Warfield,
0,1,2
Giolì & Assia,1015 Folsom,
0,1,2
Rome In Silver,The Independent,
0,1,2
Meduza,The Midway,Insomniac Presents
0,1,2
HoneyLuv,Halcyon SF,
0,1,2
"Sub Focus,1991,Dimension,Culture Shock",The Midway,WORSHIP North America Tour
0,1,2
"SG Lewis,Lava La Rue",The Warfield,
0,1,2
Forest Green,Alameda,Shrek Underground Rave
0,1,2
"Qrion,1 to 1",Audio,
0,1,2
Moksi,Temple SF,
0,1,2
Steve Lawler,Halcyon SF,
0,1,2
Yaeji,Fox Theater Oakland,
0,1,2
"Elderbrook,ford.",The Warfield,
0,1,2
Overmono,1015 Folsom,
0,1,2
Oliver Koletzki,Public Works,Presented by Public Works
0,1,2
Will Sparks,Temple SF,
0,1,2
"Big Wild,Cannons",Greek Theatre Berkeley,
0,1,2
"Jan Blomqvist,Man Power,Ramona Wouters",Public Works,Presented by Public Works
0,1,2
"Ilan Bluestone,Ryan Russell",Audio,
0,1,2
DubVision,YOLO Nightclub,
0,1,2
The Blaze,1015 Folsom,
0,1,2
"Adam Beyer,Avision,Layton Giordani,Melanie Ribbie",The Midway,Drumcode
0,1,2
"Xeno & Oaklander,Martial Canterel,Omar",DNA Lounge,
0,1,2
Habstrakt,The Midway,
0,1,2
Sick Individuals,YOLO Nightclub,
0,1,2
Patrice Bäumel,Audio,
0,1,2
Lewis OfMan,Great American Music Hall,
0,1,2
"The Floozies,Dirtwire,& More",The Midway,Bicycle Day
0,1,2
"2ManyDJs,Eug",1015 Folsom,
0,1,2
John Digweed,Public Works,
0,1,2
"Chromeo,Starfari",Regency Ballroom,
0,1,2
"Mura Masa,Sofia Kourtesis",1015 Folsom,
0,1,2
Lotus,The Independent,
0,1,2
WhoMadeWho,1015 Folsom,
0,1,2
"Justin Cudmore,Kelly Naughton,FawksTales",60 6th St,Harder Sf
0,1,2
Hippie Sabotage,The Warfield,
0,1,2
Boris Brejcha,The Midway,FCKNG SERIOUS
0,1,2
"Pawsa,Gypsum,Jackson Walker",Audio,
0,1,2
Manic Focus,Public Works,
0,1,2
FKJ,Regency Ballroom,
0,1,2
FKJ,Regency Ballroom,
0,1,2
Amtrac,The Independent,
0,1,2
"Deathpact,Tape B",1015 Folsom,
0,1,2
Korolova,Audio,
0,1,2
Destructo,Temple SF,
0,1,2
"SubDocta,Black Carl!,Blue Blood,Dalfin",DNA Lounge,
0,1,2
Cloonee,SVN West,
0,1,2
VOLAC,Temple SF,
0,1,2
Miss Nine,Bergerac,
0,1,2
Marten Hørger,The Loft at Public Works,Opel 21 Year Anniversary
0,1,2
"Marques Wyatt,Zach Walker",Hotel VIA,
0,1,2
"Bostich,Fussible,Philthy Dronez,Ritmos Tropicosmos",Rickshaw Stop,NORTEC
0,1,2
Mira,Public Works,
0,1,2
Matroda,The Midway,
0,1,2
Kyle Walker,Temple SF,
0,1,2
The Blessed Madonna,1015 Folsom,
0,1,2
Cinthie,The Loft at Public Works,Night Train & Public Works Present
0,1,2
"Biscits,Goodboys",The Midway,
0,1,2
Kerala Dust,The Independent,
0,1,2
Sickick,Temple SF,
0,1,2
Cassian,1015 Folsom,
0,1,2
Luude,1015 Folsom,
0,1,2
MADDS,Temple SF,
0,1,2
Whethan,San Francisco Belle,
0,1,2
"Black Coffee,Joe Kay",Frank H. Ogawa Plaza,
0,1,2
"Unders,MALAS",Hotel VIA,
0,1,2
M83,Fox Theater Oakland,
0,1,2
M83,Fox Theater Oakland,Fantasy 2023 Tour
0,1,2
"Nuovo Testamento,Molchat Doma",The Warfield,
0,1,2
Snakehips,1015 Folsom,
0,1,2
Moon Boots,Great American Music Hall,
0,1,2
Lil Jon,Temple SF,
0,1,2
Hi Five,Historic BAL Theatre,
0,1,2
Two Friends,The Midway,
0,1,2
Sahar Z,Audio,
0,1,2
"Yves Tumor,Evanora Unlimited,Pretty Sick",The Warfield,
0,1,2
MEUTE,Fillmore SF,
0,1,2
Phantogram,UC Theatre,
0,1,2
"UBUR,Phiso,PROSECUTE",DNA Lounge,
0,1,2
DJ Abel,City Nights,IMAGINA
0,1,2
"Moris Blak,Danny Blu,Eva X,Haex",DNA Lounge,
0,1,2
ILLENIUM,Chase Center,
0,1,2
Austin Millz,Rickshaw Stop,
0,1,2
ILLENIUM,Chase Center,
0,1,2
Ummet Ozcan,Temple SF,
0,1,2
Satin Jackets,The Midway,
0,1,2
Bruno Martini,Temple SF,
0,1,2
"Seven Lions,Andrew Bayer,Jason Ross,Gem & Tauri",Greek Theatre Berkeley,Beyond The iVel - The Journey III Tour
0,1,2
Lane 8,Great Northern,This Never Happened Summer Gathering
0,1,2
Juicy M,Temple SF,
